plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
EDILLILIE_S2.2_P2341_R2,2023,1,160.5,266.847,Lentil,,,,,,1411.52,984.173
EDILLILIE_S1.1_P1212_R3,2023,1,149.5,266.847,Lentil,,,,,,1489.84,1073.493
EDILLILIE_S2.1_P2341_R2,2023,1,171.5,266.847,Lentil,,,,,,1280.4,842.053
EDILLILIE_S2.2_P4123_R1,2023,1,160.5,171.0286,Lentil,,,,,,1163.2,831.6714
EDILLILIE_S1.2 _P2121_R3,2023,1,149.5,171.0286,Lentil,,,,,,1289.6,969.0714
EDILLILIE_S1.3_P2121_R3,2023,1,160.5,171.0286,Lentil,,,,,,1299.52,967.9914
EDILLILIE_S2.2 _P2341_R1,2023,1,160.5,266.847,Lentil,,,,,,1653.52,1226.173
EDILLILIE_S3_P2341_R1,2023,1,160.5,266.847,Lentil,,,,,,1666.72,1239.373
EDILLILIE_S3_P1234_R1,2023,1,160.5,108.853,Lentil,,,,,,1126.98,857.627
EDILLILIE_S1.2 _P1212_R1,2023,1,171.5,266.847,Lentil,,,,,,1822.48,1384.133
EDILLILIE_S1.1_P1212_R2,2023,1,160.5,266.847,Lentil,,,,,,1327.04,899.693
EDILLILIE_S3_P4123_R2,2023,1,160.5,171.0286,Lentil,,,,,,1120,788.4714
EDILLILIE_S2.2_P3412_R2,2023,1,171.5,171.0286,Lentil,,,,,,1191.04,848.5114
EDILLILIE_S2.1_P1234_R2,2023,1,160.5,108.853,Lentil,,,,,,1234.5,965.147
EDILLILIE_S2.2_P2341_R3,2023,1,160.5,266.847,Lentil,,,,,,1395.68,968.333
EDILLILIE_S3_P3412_R3,2023,1,171.5,171.0286,Lentil,,,,,,1110.4,767.8714
EDILLILIE_S3_P2341_R3,2023,1,160.5,266.847,Lentil,,,,,,1647.36,1220.013
EDILLILIE_S2.1_P1234_R3,2023,1,160.5,108.853,Lentil,,,,,,1176.75,907.397
EDILLILIE_S2.1_P3412_R3,2023,1,160.5,171.0286,Lentil,,,,,,1214.72,883.1914
EDILLILIE_S2.1_P4123_R2,2023,1,171.5,171.0286,Lentil,,,,,,1289.6,947.0714
EDILLILIE_S1.3_P1212_R2,2023,1,149.5,266.847,Lentil,,,,,,1635.04,1218.693
MANANG_S1.1_P2312_R3,2023,1,213,458.82,Lentil,,,,,,1065.92,394.1
MANANG_S1.1_P2312_R3,2024,2,213,315.7692,Lentil,,,,,,640,111.2308
MANANG_S3_P2312_R3,2023,1,193.5,501.3472,Lentil,,,,,,656.25,-38.5972
MANANG_S3_P2312_R3,2024,2,221.5,402.6359803,Lentil,,,,,,832,207.8640197
MANANG_S8.2_P1231_R3,2023,1,215.5,524.5,Lentil,,,,,,0,-740
MANANG_S8.2_P1231_R3,2024,2,221.5,363.6054763,Lentil,,,,,,640,54.8945237
MANANG_S7_P3123_R2,2023,1,202,434.32,Lentil,,,,,,860.8,224.48
MANANG_S5_P4123_R2,2023,1,191,434.32,Lentil,,,,,,752.96,127.64
MANANG_S5_P4123_R2,2024,2,193.5,189.3017,Lentil,,,,,,225,-157.8017
MANANG_S4_P1234_R3,2023,1,226.5,501.3472,Lentil,,,,,,663,-64.8472
MANANG_S4_P1234_R3,2024,2,210.5,357.8069634,Lentil,,,,,,704,135.6930366
MANANG_S13_P0000_R3,2023,1,182.5,513.1,Lentil,,,,,,1019.04,323.44
MANANG_S13_P0000_R3,2024,2,221.5,311.9154218,Lentil,,,,,,693.3333333,159.9179116
MANANG_S10.2_P2312_R3,2023,1,191,434.32,Lentil,,,,,,1026.24,400.92
MANANG_S10.2_P2312_R3,2024,2,221.5,403.3494389,Lentil,,,,,,672,47.1505611
MANANG_S8.2_P1231_R1,2023,1,226.5,524.5,Lentil,,,,,,0,-751
MANANG_S8.2_P1231_R1,2024,2,221.5,363.6054763,Lentil,,,,,,512,-73.1054763
MANANG_S4_P2341_R2,2023,1,202,450.5,Lentil,,,,,,1182.72,530.22
MANANG_S4_P2341_R2,2024,2,221.5,376.4705177,Lentil,,,,,,608,10.02948235
MANANG_S9_P2312_R1,2023,1,202,434.32,Lentil,,,,,,909.76,273.44
MANANG_S9_P2312_R1,2024,2,210.5,434.5688568,Lentil,,,,,,1213.8,568.7311432
MANANG_S1.2_P2312_R1,2023,1,202,434.32,Lentil,,,,,,1071.68,435.36
MANANG_S1.2_P2312_R1,2024,2,230,405.9979634,Lentil,,,,,,256,-379.9979634
MANANG_S10.1_P1231_R1,2023,1,213,448.4972,Lentil,,,,,,0,-661.4972
MANANG_S10.1_P1231_R1,2024,2,230,393.2400664,Lentil,,,,,,448,-175.2400664
MANANG_S8.1_P2312_R2,2023,1,191,434.32,Lentil,,,,,,1009.92,384.6
MANANG_S8.1_P2312_R2,2024,2,230,396.0979385,Lentil,,,,,,384,-242.0979385
MANANG_S11_P1212_R3,2023,1,213,448.4972,Lentil,,,,,,0,-661.4972
MANANG_S11_P1212_R3,2024,2,230,386.2641527,Lentil,,,,,,768,151.7358473
MANANG_S2_P2121_R3,2023,1,202,434.32,Lentil,,,,,,1018.24,381.92
MANANG_S2_P2121_R3,2024,2,193.5,189.3017,Lentil,,,,,,225,-157.8017
MANANG_S4_P3412_R1,2023,1,213,434.32,Lentil,,,,,,1004.16,356.84
MANANG_S4_P3412_R1,2024,2,230,389.3020102,Lentil,,,,,,448,-171.3020102
MANANG_S10.2_P2312_R2,2023,1,191,434.32,Lentil,,,,,,831.36,206.04
MANANG_S10.2_P2312_R2,2024,2,221.5,403.3494389,Lentil,,,,,,576,-48.8494389
MANANG_S10.1_P3123_R1,2023,1,182.5,409.82,Lentil,,,,,,1046.4,454.08
MANANG_S10.1_P3123_R1,2024,2,193.5,207.1572,Lentil,,,,,,288,-112.6572
MANANG_S8.2_P3123_R3,2023,1,202,434.32,Lentil,,,,,,1123.84,487.52
MANANG_S8.2_P3123_R3,2024,2,193.5,210.7522,Lentil,,,,,,0,-404.2522
MANANG_S8.1_P1231_R3,2023,1,204.5,524.5,Lentil,,,,,,0,-729
MANANG_S8.1_P1231_R3,2024,2,221.5,407.6677994,Lentil,,,,,,608,-21.1677994
MANANG_S13_P0000_R6,2023,1,182.5,513.1,Lentil,,,,,,1057.76,362.16
MANANG_S8.2_P2312_R2,2023,1,213,434.32,Lentil,,,,,,1071.68,424.36
MANANG_S8.2_P2312_R2,2024,2,230,364.0891762,Lentil,,,,,,576,-18.0891762
MANANG_S10.2_P2312_R1,2023,1,180,434.32,Lentil,,,,,,1169.92,555.6
MANANG_S10.2_P2312_R1,2024,2,221.5,403.3494389,Lentil,,,,,,224,-400.8494389
MANANG_S3_P3123_R1,2023,1,202,434.32,Lentil,,,,,,834.24,197.92
MANANG_S3_P3123_R1,2024,2,193.5,189.3017,Lentil,,,,,,150,-232.8017
MANANG_S2_P1212_R1,2023,1,204.5,501.3472,Lentil,,,,,,652.5,-53.3472
MANANG_S2_P1212_R1,2024,2,230,420.2705155,Lentil,,,,,,544,-106.2705155
MANANG_S10.1_P2312_R1,2023,1,171.5,409.82,Lentil,,,,,,869.76,288.44
MANANG_S10.1_P2312_R1,2024,2,230,398.2465015,Lentil,,,,,,448,-180.2465015
MANANG_S9_P2312_R2,2023,1,191,434.32,Lentil,,,,,,1033.28,407.96
MANANG_S9_P2312_R2,2024,2,210.5,434.5688568,Lentil,,,,,,1451.8,806.7311432
MANANG_S1.3_P3123_R3,2023,1,213,479.32,Lentil,,,,,,1006.72,314.4
MANANG_S1.3_P3123_R3,2024,2,193.5,189.3017,Lentil,,,,,,225,-157.8017
MANANG_S13_P0000_R2,2023,1,182.5,513.1,Lentil,,,,,,1035.76,340.16
MANANG_S13_P0000_R2,2024,2,221.5,311.9154218,Lentil,,,,,,490.6666667,-42.74875508
MANANG_S8.2_P2312_R3,2023,1,202,434.32,Lentil,,,,,,745.6,109.28
MANANG_S8.2_P2312_R3,2024,2,230,364.0891762,Lentil,,,,,,832,237.9108238
MANANG_S8.1_P2312_R1,2023,1,202,434.32,Lentil,,,,,,1131.52,495.2
